match_id,league,date,home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_pass_success,away_pass_success,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_corners,away_corners,home_red_cards,away_red_cards
527536,德甲,2021-1-16 10:30:00 PM,不莱梅,奥格斯堡,0,0,12,5,5,1,49.0,51.0,80.0,81.0,8,18,0,1,4,4,0,0
527534,德甲,2021-1-16 10:30:00 PM,多特蒙德,美因茨,0,0,17,9,8,3,68.0,32.0,88.0,66.0,10,19,1,2,1,2,0,0
527533,德甲,2021-1-16 10:30:00 PM,沃尔夫斯堡,RB莱比锡,0,0,10,10,3,6,52.0,48.0,74.0,76.0,13,8,4,3,6,6,0,0
527531,德甲,2021-1-16 10:30:00 PM,科隆,柏林赫塔,0,0,7,14,1,3,46.0,54.0,77.0,80.0,12,19,2,3,5,4,0,0
527537,德甲,2021-1-16 10:30:00 PM,霍芬海姆,比勒菲尔德,0,0,12,9,5,1,53.0,47.0,85.0,81.0,8,20,1,1,5,3,0,0
531083,英超,2021-1-16 11:00:00 PM,利兹联,布莱顿,0,0,9,7,2,2,63.0,37.0,82.0,69.0,8,9,1,1,5,2,0,0
531088,英超,2021-1-16 11:00:00 PM,西汉姆,伯恩利,0,0,15,11,3,2,48.0,52.0,74.0,74.0,12,9,2,1,7,4,0,0
529907,法甲,2021-1-17 12:00:00 AM,马赛,尼姆,0,0,14,8,6,5,60.0,40.0,87.0,77.0,13,6,2,2,7,3,0,0
542633,意甲,2021-1-17 1:00:00 AM,都灵,斯佩齐亚,0,0,11,6,1,3,65.0,35.0,88.0,74.0,12,14,3,4,6,2,0,1
531082,英超,2021-1-17 1:30:00 AM,富勒姆,切尔西,0,0,10,21,2,6,35.0,65.0,73.0,88.0,11,10,2,3,1,12,1,0
527535,德甲,2021-1-17 1:30:00 AM,斯图加特,门兴,0,0,20,9,6,5,60.0,40.0,86.0,78.0,11,19,2,3,5,2,0,0
542631,意甲,2021-1-17 3:45:00 AM,桑普多利亚,乌迪内斯,0,0,14,14,6,4,53.0,47.0,84.0,80.0,8,11,1,1,11,5,0,0
529902,法甲,2021-1-17 4:00:00 AM,昂热,巴黎圣日耳曼,0,0,11,11,4,2,42.0,58.0,80.0,87.0,11,13,0,2,5,7,0,0
531084,英超,2021-1-17 4:00:00 AM,莱斯特城,南安普顿,0,0,16,8,5,3,47.0,53.0,72.0,76.0,10,11,2,2,2,5,0,0
542630,意甲,2021-1-17 7:30:00 PM,那不勒斯,佛罗伦萨,0,0,9,12,6,1,48.0,52.0,87.0,86.0,11,15,1,0,1,4,0,0
529903,法甲,2021-1-17 8:00:00 PM,布雷斯特,雷恩,0,0,13,7,4,4,44.0,56.0,82.0,88.0,9,8,1,1,3,3,0,0
542627,意甲,2021-1-17 10:00:00 PM,克罗托内,贝内文托,0,0,9,21,4,5,38.0,62.0,74.0,82.0,14,14,1,4,4,13,0,0
529909,法甲,2021-1-17 10:00:00 PM,南特,朗斯,0,0,10,8,2,1,43.0,57.0,71.0,83.0,14,19,3,3,2,4,0,0
529910,法甲,2021-1-17 10:00:00 PM,尼斯,波尔多,0,0,10,19,2,9,50.0,50.0,86.0,84.0,8,7,0,1,3,10,0,0
529911,法甲,2021-1-17 10:00:00 PM,斯特拉斯堡,圣埃蒂安,0,0,15,8,5,3,41.0,59.0,74.0,83.0,23,9,2,2,7,3,0,0
542632,意甲,2021-1-17 10:00:00 PM,萨索洛,帕尔马,0,0,17,11,5,2,58.0,42.0,89.0,78.0,18,11,3,2,5,2,0,0
531087,英超,2021-1-17 10:00:00 PM,谢菲尔德联,热刺,0,0,15,14,5,5,39.0,61.0,77.0,83.0,13,4,4,0,5,7,0,0
527532,德甲,2021-1-17 10:30:00 PM,拜仁慕尼黑,弗赖堡,0,0,25,8,9,2,59.0,41.0,89.0,76.0,4,14,1,2,14,3,0,0
529904,法甲,2021-1-18 12:00:00 AM,里尔,兰斯,0,0,10,4,4,1,62.0,38.0,86.0,80.0,13,11,2,1,3,5,0,0
531085,英超,2021-1-18 12:30:00 AM,利物浦,曼联,0,0,18,8,3,4,65.0,35.0,87.0,73.0,15,6,2,1,7,3,0,0
542624,意甲,2021-1-18 1:00:00 AM,亚特兰大,热那亚,0,0,18,5,3,3,72.0,28.0,81.0,71.0,15,13,1,2,9,1,0,0
527530,德甲,2021-1-18 1:00:00 AM,法兰克福,沙尔克,0,0,15,5,9,1,70.0,30.0,86.0,66.0,8,10,0,1,8,2,0,0
531086,英超,2021-1-18 3:15:00 AM,曼城,水晶宫,0,0,13,2,6,0,71.0,29.0,90.0,71.0,9,8,0,0,11,1,0,0
542628,意甲,2021-1-18 3:45:00 AM,国际米兰,尤文图斯,0,0,10,3,5,2,48.0,52.0,88.0,90.0,8,14,2,2,3,4,0,0
529906,法甲,2021-1-18 4:00:00 AM,里昂,梅斯,0,0,7,3,3,2,60.0,40.0,84.0,73.0,14,11,1,3,9,2,0,0
542626,意甲,2021-1-19 3:45:00 AM,卡利亚里,AC米兰,0,0,17,11,2,7,46.0,54.0,84.0,87.0,9,13,2,3,7,4,0,1
531080,英超,2021-1-19 4:00:00 AM,阿森纳,纽卡斯尔,0,0,20,4,6,1,63.0,37.0,90.0,76.0,9,8,0,0,7,2,0,0
527546,德甲,2021-1-20 1:30:00 AM,门兴,不莱梅,0,0,10,14,5,3,61.0,39.0,84.0,81.0,15,11,2,2,7,5,0,0
537070,西甲,2021-1-20 2:00:00 AM,加的斯,莱万特,0,0,7,8,2,5,35.0,65.0,68.0,85.0,13,11,3,1,5,2,0,0
537072,西甲,2021-1-20 2:00:00 AM,巴拉多利德,埃尔切,0,0,14,8,5,3,58.0,42.0,86.0,80.0,14,19,1,2,4,5,1,0
531076,英超,2021-1-20 2:00:00 AM,西汉姆,西布朗,0,0,14,7,6,2,57.0,43.0,82.0,72.0,10,10,0,1,3,1,0,0
527538,德甲,2021-1-20 3:30:00 AM,勒沃库森,多特蒙德,0,0,23,16,13,3,48.0,52.0,84.0,84.0,13,8,2,2,6,5,0,0
527542,德甲,2021-1-20 3:30:00 AM,柏林赫塔,霍芬海姆,0,0,13,11,2,6,57.0,43.0,81.0,78.0,16,16,1,1,3,2,0,0
